t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
24.5,631.1566512011107,5.492777016386516e6,694.8219284658333,286.5260424968981,2.1500916277135294e6,8353.920671216982,985.7400240116565,19341.157240424203,4419.586253151474,19617.53792701644,8758.560734579984,9.71842254751107,874.5427128235129,4.905842008673949e8,31557.320863127323,413.37606506569364,1.1319041583266498e6,1751.4198400276505,29166.555632933338,522.7347128417417,68480.8164019437,197819.80145447885,163983.6291567275,11977.76920566234,27576.347726165102,67257.24673770466,3.479318924515064,3.3732164939928326,2.8733567892628504,404410.80065201747,155.6502415961034,0.046765676956911494,7.255070499814157,1.541079190940232,0.22588581227137733,8.437884883474728
25.0,398.34046397342223,5.494989097299315e6,442.03792377268917,180.83993044477825,2.1720885016309037e6,6534.776670645896,1030.2989480804897,18871.71739367293,4455.488959027346,19640.98874528027,7966.469338256842,9.72225788578961,583.9371873471795,4.907323611131621e8,22399.834583302883,283.849558187064,1.1361883216004204e6,1365.2416861526976,29436.117102199587,416.2156963620023,67036.34917612695,193368.33991124632,161138.99296202994,12365.31755797954,24390.36762506749,64412.42863335042,3.6060059711317454,3.466854589586765,2.941943431840027,404410.42876096664,111.90398364301268,0.03039005902287731,7.109831940540603,1.1161345474781592,0.166069359743373,8.514070136703799
25.5,251.2455478341278,5.496534311376962e6,280.5198159841841,113.9480434601915,2.192709672631177e6,5107.599050499234,1075.1570801889252,18412.384757045318,4486.990959716932,19665.132542986143,7240.772239062745,9.714739464762166,392.94696304204064,4.908802152701632e8,15893.373298056216,195.44826521529401,1.140203302701362e6,1064.0710810139112,29749.692239269414,343.2447314296354,65577.56736124563,188918.74980647935,158094.7048284341,12729.193361354239,21546.901244384717,61388.193933655704,3.7214491284931546,3.546729754003234,2.9978604574250096,404397.83102943766,80.45188919518846,0.01989833511148115,6.960396019667906,0.8073602364573508,0.12221430682792823,8.58653979128833
26.0,158.44743747880668,5.4976095211192025e6,177.68989694238059,71.72359236065564,2.212038601762387e6,3989.4556014020122,1120.2298843106178,17963.16890520449,4514.275587696255,19689.79752134331,6577.081664430525,9.696965317956076,266.31123281215827,4.910277424087622e8,11273.15495843241,134.9172792364466,1.1439658920753258e6,829.2483322731314,30091.11031294369,294.39617840569537,64120.848485695766,184497.85227159297,154906.1249264518,13069.73242692172,19032.096737263997,58254.05930493369,3.8254439547645833,3.612888703504149,3.0412704937407673,404376.5654860085,57.83942095245961,0.013120609342471144,6.80844239395363,0.5834037943837503,0.09004139557151551,8.655475059112543
26.5,99.95749606294792,5.498355122373129e6,112.41222978111286,45.12323329276228,2.2301546168919792e6,3114.4039262905976,1165.446643585036,17524.03725763661,4537.5218985433185,19714.84828745027,5971.019414937463,9.66995438335986,181.66197235414805,4.911749292588951e8,7993.904005182611,93.34675911653535,1.1474918773631735e6,646.1896427251121,30445.828078196635,262.3228583055245,62677.2971987468,180125.1935145892,151622.079881096,13387.455713895322,16823.146465162168,55070.082768756394,3.917982623168539,3.6655987054140327,3.0725336881675145,404349.1894739021,41.582424291511536,0.008708046026955624,6.655375335979118,0.4212092704066441,0.06641925859061663,8.721048314252764
27.0,63.10658868716389,5.498870587221339e6,71.06464446717645,28.388575895256388,2.247132774769616e6,2430.2151985624773,1210.7485145523815,17094.921998467984,4556.904436589951,19740.178380323465,5418.2996679057505,9.634648280624369,124.65604777096405,4.9132176743658394e8,5667.323749332026,64.72051597683594,1.1507960864998943e6,503.5046619751158,30802.18305219027,241.65655599806246,61254.133665474874,175814.8112515759,148283.54755350645,13683.005728517697,14892.60777275694,51886.557414525836,3.9992212752047647,3.705305714799519,3.0921673836198313,404317.5405789816,29.894724672772977,0.005814373717479939,6.502329766372402,0.30388964412646985,0.04905833962438731,8.783423524002439
27.5,39.887415152477985,5.499225990166623e6,44.91622207334274,17.86890384601712,2.263043871254245e6,1895.6537115223953,1256.0867735042584,16675.726252022283,4572.593060246482,19765.7042500271,4914.787639588939,9.591914113303085,86.0035110000957,4.9146825170678455e8,4017.1765517683043,44.95947026914977,1.1538924357818787e6,392.3019045731477,31151.73458638132,228.6520087076288,59855.86406596618,171576.60325317518,144923.5847435187,13957.098449616346,13211.456753298711,48744.379398367164,4.069448186314767,3.732594348226303,3.100807943555674,404282.9388004118,21.492088328312715,0.003903893040610205,6.350195358871561,0.2191164454550135,0.03628503278899405,8.842756658875727
28.0,25.24989966352382,5.499470449030341e6,28.396666712544345,11.257810014900263,2.2779545425293944e6,1478.2472502250682,1301.421260510948,16266.329512874343,4584.752820138618,19791.360437425144,4456.539223157741,9.542547962831227,59.63104410140297,4.916143788832045e8,2847.1022830456163,31.28754186029161,1.1567939795471455e6,305.6433768154585,31489.016536655225,220.77780903073608,58485.169031967926,167417.3683519858,141568.00689388794,14210.489179306142,11751.091838791337,45675.82925883136,4.129054328387289,3.748151469811452,3.099176327426137,404246.3319808709,15.451200897777188,0.0026346065305448804,6.199650188253712,0.15791308675748045,0.026875822199765826,8.899196082615074
28.5,16.01385804421816,5.499638241056178e6,17.965401984617483,7.102136225633928,2.2919274196501276e6,1152.4783865836275,1346.7190170898255,15866.592358947244,4593.543883213532,19817.09573447501,4039.8258733110606,9.487278814976177,41.5337719073029,4.9176014712423444e8,2017.612536160938,21.808976214200428,1.1595129595667874e6,238.11712442970432,31811.002583046487,216.3567747080233,57143.532781527974,163341.59195485731,138236.42134651967,14443.949405077703,10484.54021830671,42705.56486754942,4.178507193449766,3.752734300019492,3.0880482052256513,404208.400395471,11.108248439431334,0.0017864072920577324,6.05119709338077,0.11375777425993465,0.01993586594422457,8.952882923177805
29.0,10.17853317275086,5.499753194529653e6,11.378637768711428,4.488161788596349,2.305021311995491e6,898.3291009188108,1391.9531068696413,15476.360496086887,4599.121496249215,19842.870137999766,3661.148234250657,9.426772720485635,29.049591739756867,4.919055554779501e8,1429.6725419317147,15.225169540216154,1.1620608530857002e6,185.50264865982393,32116.496753372754,214.28895228039335,55831.668277206685,159352.0370522607,134943.34559911292,14658.251683163178,9387.098309510278,39851.68379650191,4.218328216827029,3.7471433343975433,3.0682288186113427,404169.63195840124,7.985989796107748,0.001216550287998684,5.9051982933456975,0.08192069507806866,0.014810289682932704,9.003951425629555
